$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
2000.0,1.0,1.0,1.0,1.0,8760.0,8760.0,50000.0,1.0,7268.25,2075.625,990.875,8.0
1800.0,0.9,2.0,0.04,,,,,2.0,7946.0,2269.0,1083.0,1.0
1100.0,0.55,3.0,0.024,,,,,3.0,8340.0,2382.0,1137.0,1.0
400.0,0.2,4.0,0.003,,,,,4.0,8258.5,2358.2727272727275,1125.7272727272727,22.0
,,,,,,,,5.0,8513.0,2431.0,1161.0,1.0
,,,,,,,,6.0,9903.657342657343,2828.377622377622,1350.13986013986,143.0
,,,,,,,,7.0,8468.0,2418.0,1154.0,1.0
,,,,,,,,8.0,8906.0,2544.0,1214.0,1.0
,,,,,,,,9.0,9312.0,2659.2,1269.6,5.0
,,,,,,,,10.0,9895.71891891892,2826.054054054054,1349.1027027027028,185.0
,,,,,,,,11.0,11587.0,3309.0,1580.0,1.0
,,,,,,,,12.0,11837.0,3381.0,1614.0,1.0
,,,,,,,,13.0,11733.5,3351.0,1599.75,4.0
,,,,,,,,14.0,11370.0,3247.0,1550.0,1.0
,,,,,,,,15.0,9922.387900355872,2833.733096085409,1352.7010676156583,281.0
,,,,,,,,16.0,9129.0,2607.0,1245.0,1.0
,,,,,,,,17.0,9584.333333333334,2737.3333333333335,1306.6666666666667,3.0
,,,,,,,,18.0,9397.0,2684.0,1281.0,1.0
,,,,,,,,19.0,9077.0,2592.5,1237.0,2.0
,,,,,,,,20.0,9005.0,2572.0,1227.0,1.0
,,,,,,,,21.0,9435.0,2694.0,1287.0,1.0
,,,,,,,,22.0,8397.666666666666,2398.3333333333335,1144.8666666666666,15.0
,,,,,,,,23.0,8673.0,2477.0,1182.0,1.0
,,,,,,,,24.0,9732.952380952382,2779.6666666666665,1326.873015873016,63.0
,,,,,,,,25.0,9381.818965517241,2679.3505747126437,1278.9655172413793,696.0
,,,,,,,,26.0,9048.444444444445,2584.098765432099,1233.4814814814815,81.0
,,,,,,,,27.0,10471.0,2991.0,1428.0,1.0
,,,,,,,,28.0,9710.238095238095,2773.190476190476,1323.7619047619048,21.0
,,,,,,,,29.0,10759.0,3072.0,1467.0,1.0
,,,,,,,,30.0,9098.547368421052,2598.452631578947,1240.378947368421,95.0
,,,,,,,,31.0,8530.0,2436.0,1163.0,1.0
,,,,,,,,32.0,8683.91304347826,2480.0,1183.7391304347825,23.0
,,,,,,,,33.0,7809.0,2230.0,1065.0,1.0
,,,,,,,,34.0,8257.0,2358.0,1126.0,1.0
